area_m2,bedrooms,age_years,distance_to_centre_km,price_eur
93.2,2,7,4.74,181147
55.4,4,1,15.5,99696
102.3,1,22,21.55,145277
155.0,3,57,5.45,268420
55.5,1,7,5.15,104809
81.9,4,40,15.84,116293
151.0,1,15,15.81,267300
45.1,4,3,4.16,142433
60.9,5,46,18.05,79892
53.6,5,16,17.28,73478
139.6,2,12,8.44,257226
84.9,5,21,16.73,124905
135.9,5,1,10.28,268243
108.8,1,36,7.9,178535
190.2,2,17,7.24,347923
77.9,5,37,5.3,171780
199.5,3,14,12.81,388282
198.3,2,27,22.55,312892
89.7,4,60,2.93,149792
187.1,2,46,4.27,329651
54.5,4,51,11.21,95530
98.7,1,59,16.62,109377
126.0,4,47,17.43,175287
156.2,5,20,1.88,311007
183.4,2,31,10.43,325010
199.5,3,36,8.79,351614
71.7,4,47,1.24,143599
137.1,5,42,7.12,262414
177.2,1,58,8.45,273810
81.6,2,0,22.54,121487
86.1,2,41,23.08,81820
172.4,3,6,14.13,317066
102.2,1,51,22.09,127026
126.5,1,18,1.02,251179
99.3,1,42,3.6,169989
122.6,4,34,4.93,225692
161.5,3,5,21.02,282905
63.3,1,59,17.05,43793
174.9,2,33,2.32,323039
62.0,4,21,16.02,93622
132.1,3,20,15.03,228286
198.4,1,18,13.15,354523
49.8,2,25,5.39,89832
136.0,5,13,21.52,243312
75.4,5,57,13.49,92656
120.7,5,26,20.81,172722
109.7,3,17,24.33,153684
86.7,5,18,12.57,160136
125.8,1,18,6.85,233407
125.1,1,6,15.55,201913
134.3,2,49,11.94,206832
45.7,5,47,21.53,31908
56.0,3,46,4.48,109183
178.9,4,3,16.29,334224
67.3,3,45,15.15,66282
145.3,1,50,14.48,210678
177.1,1,2,23.27,279498
89.1,1,18,12.37,160484
42.5,1,40,7.57,56523
168.2,4,5,19.93,280771
179.7,5,45,3.04,338320
85.8,1,0,3.69,182915
165.5,5,7,17.24,301900
81.7,3,6,10.89,182016
77.0,4,26,19.83,108333
190.9,2,16,23.89,300625
57.7,2,48,5.32,109104
139.8,4,54,16.64,203961
82.5,5,12,18.72,137760
69.2,5,3,11.36,138863
139.9,3,46,20.53,182669
62.9,3,55,15.72,55146
98.1,3,28,17.0,138215
98.6,1,13,5.85,187823
189.2,3,34,12.75,304474
156.6,4,6,21.98,291243
49.0,3,28,6.7,97330
188.8,2,53,4.11,318974
199.8,4,7,19.95,332106
151.5,2,19,22.71,223175
51.0,4,1,21.25,61103
42.8,4,31,20.87,23274
126.7,1,56,11.54,180341
73.4,3,8,18.02,110075
151.6,1,24,12.78,258415
127.5,4,38,4.54,238772
110.2,1,50,18.39,126565
121.2,1,52,19.41,146127
159.2,1,46,2.21,278440
124.6,2,19,2.68,256944
79.0,4,43,20.15,91639
41.6,3,45,14.55,38345
173.0,3,21,1.37,349149
96.3,5,20,4.4,206296
102.4,1,16,13.74,171020
87.2,4,2,23.71,136460
75.1,5,19,0.97,181313
143.7,4,40,8.98,245326
184.4,5,1,12.3,337703
147.4,1,34,11.99,229770
41.8,5,10,14.63,78698
162.9,2,54,12.81,250402
76.4,2,7,21.78,101914
76.4,2,15,24.25,81975
40.3,3,29,19.11,28494
149.4,1,20,17.6,240937
162.3,3,23,13.67,264198
179.2,4,34,19.99,292641
153.4,1,46,23.35,202895
119.9,2,52,12.28,203274
194.4,1,15,8.55,361859
83.1,5,25,21.66,141381
187.5,4,56,3.93,329793
105.9,3,56,1.36,189738
134.7,1,34,21.19,194830
101.7,3,58,22.45,106003
153.2,1,45,8.96,247081
41.0,5,33,22.09,29744
131.4,1,46,21.64,151332
97.8,3,35,5.29,156130
183.8,5,28,0.63,355507
121.0,3,23,18.14,182000
53.6,1,31,10.71,68803
140.7,4,24,5.77,294803
